brand,name,price,category,subcategory,image
Urbano,Macarrão de Arroz URBANO Padre Nosso 500g,"R$ 3,46",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-3fe53f4b958047309755ed1ab35957fb.jpg
Talharim,Macarrão Instantâneo TALHARIM Calabresa 99g,"R$ 2,29",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-20160209154652008751c170031657714a23b858c7c41d766d6f.jpg
Talharim,Macarrão Instantâneo TALHARIM Brócolis ao Molho Branco 99g,"R$ 2,29",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-2016020915465192804006fd472f0f7b45069143ec185e877f4c.jpg
Talharim,Macarrão Instantâneo TALHARIM Bolonhesa 99g,"R$ 2,29",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-20160209154652518001684b2b6286ac4f89904cc338105d526c.jpg
Urbano,Macarrão de Arroz URBANO Parafuso 500g,"R$ 3,46",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-e5fbd9a488cd4ff6a49b16347237cfcd.jpeg
Urbano,Macarrão de Arroz URBANO Pena 500g,"R$ 3,46",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-20160209154648725457191854666b294be1a088f9ae3921144c.jpg
Urbano,Macarrão de Arroz Integral URBANO Pena 500g,"R$ 5,59",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-146900c1ff414a2bbf069c528ca9a216.jpg
Urbano,Macarrão de Arroz Integral URBANO Parafuso 500g,"R$ 5,59",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-c87ab58e07974610a1231d0dd1d09591.jpg
Paganini,Macarrão PAGANINI Fettuccine 500g,"R$ 5,99",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-f6ed6a3806884015a62d6e48583ea306.jpeg
Paganini,Macarrão PAGANINI Linguine 500g,"R$ 6,99",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-a8f79894b7f349bfb59776105fea0ff9.jpeg
Fit Food,Espaguete de Feijão FIT FOOD Azuki 200g,"R$ 14,99",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-fbfb139924a74b1a917b3d04eaeae1c7.jpg
Fit Food,Espaguete de Feijāo FIT FOOD Preto 200g,"R$ 14,99",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-56b9eb8566074152b349bd6a62b1b66c.jpg
Paganini,Macarrão sem Glúten PAGANINI Fusilli 250g,"R$ 16,99",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-58effa7034d84afdb0bafe3a798ae068.jpeg
Renata,Macarrão RENATA Tricolori Parafuso 500g,"R$ 6,99",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-de4f9854c9af4eb59bd9e249830fd0d3.jpeg
Barilla,Massa Lasanha BARILLA sem Ovos 250g,"R$ 14,89",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-4266358f449142549f07b04b94dad1a0.jpeg
Barilla,Massa BARILLA Penne Rigate 500g,"R$ 14,99",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-fa0479fc86484ae597f1f8a87045c124.jpeg
Barilla,Massa BARILLA Mini Penne Rigate 500g,"R$ 14,98",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-e4f380db93c24a4a974292f76b38c969.jpeg
Barilla, Massa BARILLA Farfalle 500g,"R$ 14,99",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-6a8a16c20d5e48a4b23bca4d20a77af5.jpeg
Barilla,Massa BARILLA Risoni 500g,"R$ 12,99",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-b05534a1a5f34270be53d6a9ce4aea87.jpg
Renata,Lasanha RENATA Grano Duro 200g,"R$ 7,98",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-cd684af559f8445a863d93a18acb3bb1.jpeg
Renata,Lasanha RENATA Ovos 500g,"R$ 7,98",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-2016020915493797661013fed983a18440cba8aebecac36460be.jpg
Emegê,Macarrão EMEGÊ com Ovos Cabelo de Anjo 500g,"R$ 4,99",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-edb44026528b4eaa961e65775a3813b3.jpg
Adria,Macarrão ADRIA com Ovos Padre Nosso 500g,"R$ 3,99",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-9eaeaa1a295e400982db107dc8da2531.jpeg
Adria,Macarrão com Ovos ADRIA Pena 500g ,"R$ 3,99",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-c6052b5197514837a0dc8f162c2fcdba.jpeg
Hemmer,Cogumelos Inteiros HEMMER Sachê 100g,"R$ 10,99",Alimentos Básicos,Conservas e Enlatados,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-2b6cb4c1230c4aeb97e66195e6f04e5a.jpg
Visconti,Batata Palha VISCONTI Cebola e Salsa 140g,"R$ 4,99",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-2016020915492348624362c8e97c93744024b531b14a5e724374.jpg
Emegê,Macarrão EMEGÊ Ninho com Ovos 500g,"R$ 4,99",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-462adb059926473d971ad51145762843.jpeg
Emegê,Macarrão EMEGÊ com Ovos Espaguete 500g,"R$ 4,29",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-ef3f28dc7eea43af9fd626f86248cc41.jpg
Emegê,Macarrão EMEGÊ com Ovos Parafuso 500g,"R$ 4,29",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-86a93a549be94311875c7bec43fc9c0f.jpeg
Barilla,Massa Nacional BARILLA Espaguete 500g,"R$ 4,99",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-017e7bb8ec0c43c79926217614dffedc.webp
Galo,Macarrão GALO Espaguete Nº 8 1Kg,"R$ 5,99",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-f3cada3f2b544a2f8ad26f56510ddc0b.jpg
Urbano,Massa de Arroz URBANO Fusilli 500g,"R$ 4,86",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-ff52b5bec30043f78a3dc455d6ce774e.jpeg
Galo,Lasanha Sêmola GALO 500g,"R$ 7,99",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-5fda0749dbf2408ebd93dba2dc047915.jpeg
Galo,Macarrão GALO Pena 500g,"R$ 4,29",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-20170407010255846306fe87f7bd0b594dbfb064c36dfc955e80.jpg
La Molisana,Lasagne LA MOLISANA 500g,"R$ 11,90",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-860990d62ab64e229351a1899d9b382b.jpg
Urbano,Massa de Arroz URBANO Penne 500g,"R$ 4,86",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-a7680ae17ab84a1ab34be9c3710873be.jpg
Galo,Macarrão GALO Aletria 500g,"R$ 4,99",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-6edf7c2006194c79ad01cee39a7a8f36.jpeg
Galo,Macarrão GALO Ave Maria 500g ,"R$ 4,29",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-20170407005810774911f3a7e114d2ab4d4db632b105b2a56cbf.jpg
Adria,Macarrão Sêmola ADRIA Pena 500g,"R$ 4,29",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-957a236082f746eda3fafd41489adc99.jpg
Emegê,Macarrão Sêmola EMEGÊ Penne 500g,"R$ 3,99",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-b413426344f0436bac2b6545048510dc.jpg
Cup Noodles,Macarrão Instantâneo CUP NOODLES Calabresa 68g,"R$ 3,49",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-1710929db46941d0beb8e2c02605b68b.jpeg
Adria,Macarrão Sêmola ADRIA Parafuso 500g,"R$ 4,29",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-3f744e5e0774427b82a464d3ae58c25d.jpeg
Emegê,Macarrão Sêmola EMEGÊ Espiral 500g,"R$ 3,99",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-87174b87a4ba4a1f88441a8e358df41e.jpg
Emegê,Macarrão Sêmola EMEGÊ Parafuso 500g,"R$ 3,99",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-d4528df087964f1aa4cb95b00d353d4f.jpg
Emegê,Macarrão Sêmola EMEGÊ Espaguete 1Kg,"R$ 5,99",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-03ee63653ad84e8bb1b8cc5724846532.jpg
Adria,Macarrão Sêmola ADRIA Spaguetti Nº 8 500g ,"R$ 4,29",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-c42d11f9a66c4e6ba1a9c22cfe6aad13.jpeg
Nissin Lámen,Macarrão Instantâneo NISSIN LÁMEN Bacon 85g,,Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-20160209154651335695b283796138ba40af81e374e45b27751a.jpg
Nissin Lámen,Macarrão Instantâneo NISSIN LÁMEN Caldo de Feijão 85g,,Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-118360de69c246c8b5055fe409ea8798.jpg
GOIÀS VERDE,Seleta de Legumes GOIÁS VERDE Lata 200g,"R$ 2,89",Alimentos Básicos,Conservas e Enlatados,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-3e935f5b599640e893416d9ba43b4233.jpg
Campo Belo,Azeitonas Verdes CAMPO BELO 200g,"R$ 5,59",Alimentos Básicos,Conservas e Enlatados,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-306626757e5c471db19cc908e2c406fc.png
Frutos da Terra,Farinha de Trigo FRUTOS DA TERRA Integral 1Kg ,"R$ 6,99",Alimentos Básicos,Farinhas e Farofas,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-4438d1abffd94944b83cfc2b9f297246.jpg
Nippon,Polvilho Doce NIPPON 1Kg ,"R$ 5,79",Alimentos Básicos,Farinhas e Farofas,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-65838009cb1c4f6e90d74b03dbf18807.jpg
Renata,Macarrão RENATA Ninho Nº 3 500g,"R$ 5,48",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-cb04185398dd468ba1b00b258dc9d587.jpg
Renata,Macarrão RENATA Gravata 500g,"R$ 5,48",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-16f78a3735564958bad810c03007cb3f.jpg
Renata,Macarrão RENATA Furadinho 500g,"R$ 4,98",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-e32acbc85ffb4e5bbb9ba66a02851ea5.jpg
Renata,Macarrão RENATA Ninho 500g,"R$ 5,48",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-20160209154643955444742daa08b4f348db955f6380083ac140.jpg
Yoki,Fubá Mimoso YOKI 500g ,"R$ 2,99",Alimentos Básicos,Farinhas e Farofas,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-0df0916302924a6bb7e3473e5781a4ae.jpg
Yoki,Fubá Mimoso YOKI 1Kg,"R$ 5,99",Alimentos Básicos,Farinhas e Farofas,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-81bd4f46332b4705b3c0bed1a940c7c8.jpg
Bsb Alimentos,Fubá de Milho BSB ALIMENTOS 1Kg ,"R$ 2,99",Alimentos Básicos,Farinhas e Farofas,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-c68f0394fbd446b0903140e6255141a4.jpg
Renata,Macarrão RENATA Pena 500g,"R$ 4,98",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-20ab2d5e9b624b29882ad20007211f6e.jpg
Bsb Alimentos,Canjica Branca BSB ALIMENTOS 500g ,"R$ 2,99",Alimentos Básicos,Farinhas e Farofas,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-c1b41544aeab4d3cb7a44ae2b017cbc1.jpg
Nippon,Ervilha Verde NIPPON 500g,"R$ 4,99",Alimentos Básicos,Granel,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-f57e180aa0fe451aa705713b7a03a0a8.jpeg
Yoki,Canjica Cristal YOKI 500g ,"R$ 4,99",Alimentos Básicos,Farinhas e Farofas,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-20160209155254972022524d5458ed29491f85d75d8410e09b82.jpg
Nippon,Canjica Amarela NIPPON 500g ,"R$ 1,89",Alimentos Básicos,Farinhas e Farofas,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-92226dd26ace41aaa9668b96f98e2eeb.jpeg
Yoki,Fubá Pré Cozido YOKI 1Kg ,"R$ 7,59",Alimentos Básicos,Farinhas e Farofas,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-3f2179889d474a938acdde5e628da183.jpg
Yoki,Ervilha Verde YOKI Partida 500g ,"R$ 9,90",Alimentos Básicos,Granel,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-c31b9e2e6b32435b8441c760f9b71f33.jpg
Yoki,Sagu de Mandioca YOKI 500g,"R$ 13,89",Alimentos Básicos,Granel,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-b3aab611b67845df9b991af279625f90.jpg
Bsb Alimentos,Grão de Bico BSB ALIMENTOS 500g,"R$ 8,99",Alimentos Básicos,Granel,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-4a52b5ff20394f9faf45efb7efd851a9.jpeg
Adria,Macarrão com Ovos ADRIA Letrinhas 500g ,"R$ 3,99",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-22f8fc787dd04e628ecd6c72775476d7.jpeg
Renata,Macarrão RENATA Talharim Nº 3 500g,"R$ 7,98",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-f5500642e0c04ca29cce7c9d6c8e2b2c.jpeg
Yoki,Polvilho Azedo YOKI 1Kg ,"R$ 18,99",Alimentos Básicos,Farinhas e Farofas,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-42aa8d0d8562490685fcda4e5f1b4b16.jpg
Renata,Macarrão RENATA Aletria 500g,"R$ 5,49",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-7dde135af39845d1836541beea7f111a.jpg
Nippon,Trigo para Kibe NIPPON 500g ,"R$ 2,99",Alimentos Básicos,Farinhas e Farofas,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-eef53edaea8549378d2e6f6e7a57e5e0.jpg
Adria,Macarrão com Ovos ADRIA Gravata 500g,"R$ 3,99",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-a0cfdf7f6ad14c36816ecabda6a3b8d4.jpeg
Adria,Macarrão ADRIA com Ovos Parafuso 500g,"R$ 3,99",Alimentos Básicos,Massas Instantâneas e Tradicionais,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-4ef24667ab094dc2a2cb1f0094fb5237.jpg
Yoki,Sêmola de Milho YOKI 500g ,"R$ 4,99",Alimentos Básicos,Farinhas e Farofas,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-4b4a6ccfcc5b4115addc7f501b742b8c.jpg
Bsb Alimentos,Flocão de Arroz BSB ALIMENTOS 500g ,"R$ 2,99",Alimentos Básicos,Farinhas e Farofas,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-655b2f0f50f043c4b9825029198293a5.jpg
Nippon,Flocão de Milho NIPPON 500g ,"R$ 1,79",Alimentos Básicos,Farinhas e Farofas,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-6f8e2a25e0d24094994427a5a93573f2.jpeg
Bsb Alimentos,Farinha de Puba BSB ALIMENTOS 1Kg ,"R$ 7,99",Alimentos Básicos,Farinhas e Farofas,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-f03675c60c88467ca82362f9af43f2c1.jpg
Yoki,Farinha de Mandioca YOKI Biju 500g,"R$ 8,29",Alimentos Básicos,Farinhas e Farofas,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-201602091552590318233cc438529a2a44a3bafb715271556000.jpg
Urbano,Farinha de Arroz URBANO 1Kg,"R$ 5,11",Alimentos Básicos,Farinhas e Farofas,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-201602091546374488859e7c25c9c47c40d0bc32707b299ed660.jpg
Bsb Alimentos,Flocão de Milho BSB ALIMENTOS 500g,"R$ 1,99",Alimentos Básicos,Farinhas e Farofas,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-c47ab1c6404346bdaf00421dc92e1645.jpg
GOMES,Filé de Sardinha GOMES DA COSTA Limão 125g ,"R$ 10,99",Alimentos Básicos,Conservas e Enlatados,https://s3-sa-east-1.amazonaws.com/ib.item.image.big/b-7639c9e913004c45899edff3ef33e7bb.jpg
